Date (France),Price,Open,High,Low,Change %
2021-10-27,0.165,0.215,0.229,0.157,-25.34%
2021-10-26,0.221,0.220,0.235,0.196,-0.45%
2021-10-25,0.222,0.232,0.258,0.216,-5.93%
2021-10-23,0.236,0.236,0.236,0.236,-0.84%
2021-10-22,0.238,0.248,0.265,0.233,0.42%
2021-10-21,0.237,0.220,0.250,0.208,10.23%
2021-10-20,0.215,0.236,0.251,0.207,-8.90%
2021-10-19,0.236,0.193,0.249,0.165,21.65%
2021-10-18,0.194,0.190,0.226,0.180,12.79%
2021-10-15,0.172,0.157,0.190,0.156,19.44%
2021-10-14,0.144,0.218,0.225,0.140,-30.43%
2021-10-13,0.207,0.236,0.243,0.190,-14.46%
2021-10-12,0.242,0.211,0.245,0.199,10.50%
2021-10-11,0.219,0.211,0.233,0.195,12.89%
2021-10-08,0.194,0.176,0.199,0.156,21.25%
2021-10-07,0.160,0.171,0.172,0.141,-4.76%
2021-10-06,0.168,0.192,0.208,0.154,4.35%
2021-10-05,0.161,0.132,0.170,0.115,21.05%
2021-10-04,0.133,0.122,0.151,0.120,3.10%
2021-10-01,0.129,0.138,0.160,0.106,-16.77%
2021-09-30,0.155,0.149,0.172,0.125,13.97%
2021-09-29,0.136,0.158,0.158,0.121,-10.53%
2021-09-28,0.152,0.145,0.181,0.139,25.62%
2021-09-27,0.121,0.104,0.154,0.094,9.50%
2021-09-25,0.111,0.111,0.111,0.111,-3.07%
2021-09-24,0.114,0.093,0.122,0.090,54.05%
2021-09-23,0.074,0.033,0.085,0.012,"1,133.33%"
2021-09-22,0.006,0.020,0.034,0.002,-57.14%
2021-09-21,0.014,0.025,0.043,-0.002,-44.00%
2021-09-20,0.025,0.045,0.048,0.006,-46.81%
2021-09-19,0.047,0.047,0.047,0.047,4.44%
2021-09-17,0.045,0.035,0.067,0.032,66.67%
2021-09-16,0.027,0.027,0.050,0.018,22.73%
2021-09-15,0.022,-0.009,0.027,-0.022,-246.67%
2021-09-14,-0.015,0.002,0.033,-0.026,"-1,600.00%"
2021-09-13,0.001,-0.005,0.010,-0.013,-200.00%
2021-09-12,-0.001,-0.001,-0.001,-0.001,0.00%
2021-09-11,-0.001,-0.001,-0.001,-0.001,-125.00%
2021-09-10,0.004,-0.034,0.004,-0.036,-112.12%
2021-09-09,-0.033,0.019,0.024,-0.046,-250.00%
2021-09-08,0.022,0.029,0.029,0.001,-24.14%
2021-09-07,0.029,-0.019,0.036,-0.020,-211.54%
2021-09-06,-0.026,-0.022,0.001,-0.032,44.44%
2021-09-03,-0.018,-0.035,-0.003,-0.046,-47.06%
2021-09-02,-0.034,-0.027,-0.022,-0.053,47.83%
2021-09-01,-0.023,-0.026,-0.003,-0.037,-17.86%
2021-08-31,-0.028,-0.082,-0.024,-0.089,-67.06%
2021-08-30,-0.085,-0.063,-0.045,-0.089,28.79%
2021-08-27,-0.066,-0.059,-0.043,-0.067,17.86%
2021-08-26,-0.056,-0.069,-0.041,-0.075,-13.85%
2021-08-25,-0.065,-0.125,-0.058,-0.133,-50.00%
2021-08-24,-0.130,-0.121,-0.118,-0.146,-2.26%
2021-08-23,-0.133,-0.142,-0.108,-0.150,-9.52%
2021-08-20,-0.147,-0.144,-0.136,-0.153,5.00%
2021-08-19,-0.140,-0.141,-0.124,-0.152,4.48%
2021-08-18,-0.134,-0.129,-0.124,-0.145,9.84%
2021-08-17,-0.122,-0.135,-0.111,-0.154,0.00%
2021-08-16,-0.122,-0.135,-0.109,-0.143,-4.69%
2021-08-13,-0.128,-0.126,-0.098,-0.135,-0.78%
2021-08-12,-0.129,-0.120,-0.105,-0.132,6.61%
2021-08-11,-0.121,-0.120,-0.098,-0.129,-3.97%
2021-08-10,-0.126,-0.132,-0.112,-0.154,1.61%
2021-08-09,-0.124,-0.126,-0.114,-0.145,6.90%
2021-08-06,-0.116,-0.153,-0.112,-0.160,-24.68%
2021-08-05,-0.154,-0.147,-0.138,-0.177,3.36%
2021-08-04,-0.149,-0.136,-0.126,-0.169,11.19%
2021-08-03,-0.134,-0.122,-0.111,-0.144,0.75%
2021-08-02,-0.133,-0.099,-0.090,-0.136,30.39%
2021-07-30,-0.102,-0.099,-0.083,-0.105,3.03%
2021-07-29,-0.099,-0.084,-0.068,-0.102,17.86%
2021-07-28,-0.084,-0.091,-0.073,-0.100,-5.62%
2021-07-27,-0.089,-0.075,-0.073,-0.098,17.11%
2021-07-26,-0.076,-0.091,-0.059,-0.113,-11.63%
2021-07-23,-0.086,-0.070,-0.054,-0.086,6.17%
2021-07-22,-0.081,-0.053,-0.034,-0.087,76.09%
2021-07-21,-0.046,-0.075,-0.036,-0.076,-19.30%
2021-07-20,-0.057,-0.050,-0.042,-0.082,50.00%
2021-07-19,-0.038,-0.024,-0.015,-0.056,171.43%
2021-07-16,-0.014,-0.005,0.007,-0.021,"-1,500.00%"
2021-07-15,0.001,0.004,0.018,-0.005,-94.44%
2021-07-14,0.018,0.046,0.061,0.014,-48.57%
2021-07-13,0.035,0.041,0.053,0.019,-28.57%
2021-07-12,0.049,0.048,0.057,0.028,-7.55%
2021-07-09,0.053,0.045,0.062,0.028,29.27%
2021-07-08,0.041,0.022,0.047,0.000,0.00%
2021-07-07,0.041,0.070,0.072,0.019,-34.92%
2021-07-06,0.063,0.128,0.137,0.056,-48.36%
2021-07-05,0.122,0.101,0.127,0.098,33.33%
2021-07-04,0.091,0.091,0.091,0.091,-3.68%
2021-07-02,0.095,0.122,0.126,0.084,-23.39%
2021-07-01,0.124,0.139,0.154,0.116,-5.34%
2021-06-30,0.131,0.162,0.176,0.117,-22.49%
2021-06-29,0.169,0.167,0.181,0.146,5.63%
2021-06-28,0.160,0.194,0.199,0.156,-18.16%
2021-06-26,0.196,0.196,0.196,0.196,0.00%
2021-06-25,0.196,0.160,0.208,0.149,28.95%
2021-06-24,0.152,0.166,0.177,0.142,-1.94%
2021-06-23,0.155,0.171,0.181,0.134,-10.92%
2021-06-22,0.174,0.169,0.195,0.148,2.96%
2021-06-21,0.169,0.133,0.181,0.130,6.29%
2021-06-20,0.159,0.159,0.159,0.159,0.00%
2021-06-19,0.159,0.159,0.159,0.159,0.63%
2021-06-18,0.158,0.171,0.177,0.141,-1.86%
2021-06-17,0.161,0.191,0.194,0.157,20.15%
2021-06-16,0.134,0.149,0.149,0.129,-8.84%
2021-06-15,0.147,0.122,0.153,0.112,16.67%
2021-06-14,0.126,0.094,0.130,0.090,26.00%
2021-06-11,0.100,0.103,0.106,0.080,-16.67%
2021-06-10,0.120,0.112,0.159,0.109,0.00%
2021-06-09,0.120,0.147,0.149,0.095,-16.08%
2021-06-08,0.143,0.164,0.177,0.137,-18.29%
2021-06-07,0.175,0.154,0.178,0.151,14.01%
2021-06-05,0.154,0.154,0.154,0.154,0.00%
2021-06-04,0.154,0.178,0.182,0.147,-13.48%
2021-06-03,0.178,0.167,0.186,0.163,11.95%
2021-06-02,0.159,0.172,0.177,0.157,-13.59%
2021-06-01,0.184,0.177,0.191,0.155,6.98%
2021-05-31,0.172,0.188,0.207,0.170,-1.71%
2021-05-28,0.175,0.195,0.206,0.169,-5.91%
2021-05-27,0.186,0.149,0.192,0.148,20.00%
2021-05-26,0.155,0.185,0.189,0.149,-22.11%
2021-05-25,0.199,0.227,0.230,0.197,-14.96%
2021-05-24,0.234,0.237,0.260,0.228,-5.26%
2021-05-21,0.247,0.266,0.268,0.231,-6.79%
2021-05-20,0.265,0.307,0.308,0.263,-6.36%
2021-05-19,0.283,0.301,0.328,0.268,-5.35%
2021-05-18,0.299,0.292,0.307,0.266,2.75%
2021-05-17,0.291,0.246,0.306,0.241,10.65%
2021-05-14,0.263,0.275,0.286,0.255,-2.95%
2021-05-13,0.271,0.261,0.298,0.251,2.26%
2021-05-12,0.265,0.223,0.266,0.206,16.74%
2021-05-11,0.227,0.182,0.231,0.179,33.53%
2021-05-10,0.170,0.182,0.195,0.162,3.66%
2021-05-07,0.164,0.145,0.181,0.127,12.33%
2021-05-06,0.146,0.129,0.161,0.115,6.57%
2021-05-05,0.137,0.135,0.155,0.125,11.38%
2021-05-04,0.123,0.159,0.167,0.110,-19.61%
2021-05-03,0.153,0.152,0.200,0.133,-2.55%
2021-04-30,0.157,0.150,0.170,0.141,-2.48%
2021-04-29,0.161,0.111,0.172,0.110,559.84%
2021-04-28,0.024,0.022,0.051,0.016,"4,780.00%"
2021-04-27,0.001,0.001,0.007,-0.014,-110.87%
2021-04-26,-0.005,0.017,0.021,-0.017,-35.21%
2021-04-23,-0.007,-0.011,0.002,-0.030,33.96%
2021-04-22,-0.005,-0.034,0.011,-0.034,-66.03%
2021-04-21,-0.016,-0.007,0.004,-0.031,26.83%
2021-04-20,-0.012,0.028,0.034,-0.015,-218.27%
2021-04-19,0.010,-0.022,0.035,-0.026,-183.20%
2021-04-16,-0.013,-0.018,-0.002,-0.035,-64.69%
2021-04-15,-0.035,-0.004,0.003,-0.040,856.76%
2021-04-14,-0.004,-0.051,-0.001,-0.053,-88.82%
2021-04-13,-0.033,-0.024,-0.010,-0.043,6.77%
2021-04-12,-0.031,-0.051,-0.028,-0.077,-26.01%
2021-04-09,-0.042,-0.073,-0.023,-0.079,-47.62%
2021-04-08,-0.080,-0.072,-0.068,-0.094,16.11%
2021-04-07,-0.069,-0.071,-0.059,-0.090,13.32%
2021-04-06,-0.061,-0.071,-0.039,-0.073,-24.94%
2021-04-05,-0.081,-0.081,-0.081,-0.081,0.62%
2021-04-02,-0.080,-0.081,-0.080,-0.081,2.68%
2021-04-01,-0.078,-0.045,-0.039,-0.083,64.71%
2021-03-31,-0.048,-0.033,-0.020,-0.057,26.93%
2021-03-30,-0.038,-0.039,-0.006,-0.047,-46.96%
2021-03-29,-0.071,-0.109,-0.064,-0.124,-32.86%
2021-03-26,-0.105,-0.121,-0.084,-0.124,-22.63%
2021-03-25,-0.136,-0.116,-0.110,-0.140,25.79%
2021-03-24,-0.108,-0.105,-0.086,-0.122,16.09%
2021-03-23,-0.093,-0.069,-0.067,-0.100,54.56%
2021-03-22,-0.060,-0.078,-0.041,-0.079,31.95%
2021-03-19,-0.046,-0.042,-0.029,-0.062,153.89%
2021-03-18,-0.018,-0.026,0.002,-0.026,-48.72%
2021-03-17,-0.035,-0.078,-0.029,-0.089,-59.04%
2021-03-16,-0.086,-0.088,-0.080,-0.105,-5.09%
2021-03-15,-0.090,-0.085,-0.057,-0.097,62.70%
2021-03-12,-0.056,-0.066,-0.047,-0.090,-38.88%
2021-03-11,-0.091,-0.077,-0.059,-0.135,51.84%
2021-03-10,-0.060,-0.066,-0.044,-0.076,6.22%
2021-03-09,-0.056,-0.049,-0.048,-0.095,78.16%
2021-03-08,-0.032,-0.032,-0.025,-0.061,-31.60%
2021-03-05,-0.046,-0.030,-0.021,-0.060,-27.36%
2021-03-04,-0.064,-0.057,-0.047,-0.078,55.12%
2021-03-03,-0.041,-0.110,-0.035,-0.116,-60.77%
2021-03-02,-0.105,-0.102,-0.063,-0.110,8.40%
2021-03-01,-0.096,-0.056,-0.039,-0.108,"1,790.20%"
2021-02-26,-0.005,0.047,0.047,-0.044,-118.35%
2021-02-25,0.028,-0.031,0.047,-0.035,-168.64%
2021-02-24,-0.041,-0.075,-0.010,-0.080,-36.42%
2021-02-23,-0.064,-0.079,-0.027,-0.084,-36.30%
2021-02-22,-0.100,-0.038,-0.030,-0.115,60.51%
2021-02-19,-0.062,-0.062,-0.055,-0.082,-24.67%
2021-02-18,-0.083,-0.121,-0.064,-0.132,-36.63%
2021-02-17,-0.131,-0.107,-0.088,-0.134,8.03%
2021-02-16,-0.121,-0.162,-0.115,-0.172,-21.56%
2021-02-15,-0.154,-0.159,-0.144,-0.176,-22.34%
2021-02-12,-0.198,-0.231,-0.186,-0.241,-14.53%
2021-02-11,-0.232,-0.227,-0.220,-0.247,9.85%
2021-02-10,-0.211,-0.217,-0.200,-0.234,-5.12%
2021-02-09,-0.223,-0.220,-0.203,-0.236,-1.81%
2021-02-08,-0.227,-0.213,-0.187,-0.229,0.76%
2021-02-05,-0.225,-0.244,-0.189,-0.249,-4.86%
2021-02-04,-0.236,-0.230,-0.220,-0.251,-1.95%
2021-02-03,-0.241,-0.242,-0.231,-0.257,-1.55%
2021-02-02,-0.245,-0.271,-0.237,-0.273,-10.81%
2021-02-01,-0.275,-0.289,-0.260,-0.290,0.55%
2021-01-29,-0.273,-0.296,-0.253,-0.308,-10.16%
2021-01-28,-0.304,-0.313,-0.291,-0.323,-1.01%
2021-01-27,-0.307,-0.296,-0.284,-0.332,2.06%
2021-01-26,-0.301,-0.321,-0.292,-0.325,-4.44%
2021-01-25,-0.315,-0.281,-0.273,-0.319,13.35%
2021-01-22,-0.278,-0.259,-0.249,-0.285,3.50%
2021-01-21,-0.269,-0.306,-0.254,-0.312,-9.87%
2021-01-20,-0.298,-0.306,-0.291,-0.316,-2.01%
2021-01-19,-0.304,-0.292,-0.284,-0.309,-0.20%
2021-01-18,-0.305,-0.324,-0.288,-0.330,-3.94%
2021-01-15,-0.317,-0.328,-0.308,-0.338,-3.32%
2021-01-14,-0.328,-0.315,-0.305,-0.338,5.43%
2021-01-13,-0.311,-0.273,-0.268,-0.319,21.19%
2021-01-12,-0.257,-0.277,-0.244,-0.285,-10.46%
2021-01-11,-0.287,-0.324,-0.283,-0.331,-9.42%
2021-01-08,-0.317,-0.319,-0.310,-0.331,0.57%
